new_area_code,original_area_code,original,city,current_state,current_county,current_state_fip,current_county_fip,old_county_fips,state,county,population_1950,residence_telephones_1945,population_under5_1950,population_over65_1950,births,black_pop,dial_pulls
920,414,FALSE,Watertown,Wisconsin,jefferson,55,55,NA,NA,NA,43069,7505,4232,5152,1108,43,9
262,414,FALSE,Brookfield,Wisconsin,waukesha,55,133,NA,NA,NA,85901,10226,9817,6989,4338,258,9
262,414,FALSE,Menomonee Falls,Wisconsin,waukesha,55,133,NA,NA,NA,85901,10226,9817,6989,4338,258,9
262,414,FALSE,Muskego,Wisconsin,waukesha,55,133,NA,NA,NA,85901,10226,9817,6989,4338,258,9
262,414,FALSE,New Berlin,Wisconsin,waukesha,55,133,NA,NA,NA,85901,10226,9817,6989,4338,258,9
262,414,FALSE,Waukesha,Wisconsin,waukesha,55,133,NA,NA,NA,85901,10226,9817,6989,4338,258,9
414,414,TRUE,Franklin,Wisconsin,milwaukee,55,79,NA,NA,NA,871047,128647,86092,67443,26772,23518,9
414,414,TRUE,Greenfield,Wisconsin,milwaukee,55,79,NA,NA,NA,871047,128647,86092,67443,26772,23518,9
414,414,TRUE,South Milwaukee,Wisconsin,milwaukee,55,79,NA,NA,NA,871047,128647,86092,67443,26772,23518,9
414,414,TRUE,Oak Creek,Wisconsin,milwaukee,55,79,NA,NA,NA,871047,128647,86092,67443,26772,23518,9
414,414,TRUE,Wauwatosa,Wisconsin,milwaukee,55,79,NA,NA,NA,871047,128647,86092,67443,26772,23518,9
414,414,TRUE,West Allis,Wisconsin,milwaukee,55,79,NA,NA,NA,871047,128647,86092,67443,26772,23518,9
603,603,TRUE,Keene,New Hampshire,cheshire,33,5,NA,NA,NA,38811,5850,4068,4211,980,78,19
